I’m Not The Only One - Sam Smith,Sunday Morning - Maroon 5,Ciao Adios - Anne Marie
Why Don’t You Love Me - Hot Chaelle Rae,Count On Me - Mat Kearney,Done For Me - Charlie Puth
Skin To Bone - Linkin Park,Perfect - Ed Sheeran,Gives You Hell - All American Rejects
Bridges Burn - NEEDTOBREATHE,Shape of You - Ed Sheeran,The Joke - Lifehouse
Setting Fires - The Chainsmokers,Thinking Out Loud - Ed Sheeran,Love Yourself - Justin Bieber
Tears - Clean Bandit,Moving Forward - Colony House,Bleed It Out - Linkin Park
Rockabye - Clean Bandit,Can’t Help Falling In Love - Elvis,Good Goodbye - Linkin Park
Waiting For Love - Avicii,Streets of Gold - NEEDTOBREATHE,Attention - Charlie Puth
Demons - Against the Current,Fresh Eyes - Andy Grammer,Do It Myself - Russ
Demons - Imagine Dragons,I Love You - Alex & Sierra,Numb - Witt Lowry
Little Do You Know - Alex & Sierra,Hey There Delilah - Plain White T's,Piece of Mind 3 - Witt Lowry
Supermarket Flowers - Ed Sheeran,You Belong With Me - Taylor Swift,I’m Gonna Show You Crazy - Bebe Rexha
Save Myself - Ed Sheeran,Ophelia - The Lumineers,Pick Up The Phone - Lupe Fiasco
Photograph - Ed Sheeran,Just The Way You Are - Bruno Mars,Pocket Watchin - Peewee Longway
Let Her Go - Passenger,Count on Me - Bruno Mars,I Mean It - G-Eazy
I Won’t Let You Go - Switchfoot,You Raise Me Up - Josh Groban,I Hate Everything About You - Three Days Grace
This Beautiful Life - Colony House,Good Life - OneRepublic,One Step Closer - Linkin Park
My December - Linkin Park,Future Looks Good - OneRepublic,Platypus - Green Day
Roads Untraveled - Linkin Park,Not Alone - Linkin Park,Prison Song - System of a Down
Heavy - Linkin Park,Marry You - Bruno Mars,Dead Bodies Everywhere - Korn
Powerless - Linkin Park,I’m Yours - Jason Mraz,Bodies - Drowning Pool
Breaking the Habit - Linkin Park,Something Just Like This - Coldplay,Break Stuff - Limp Bizkit
In the End - Linkin Park,Show Goes On - Lupe Fiasco,Caught Out There  - Kelis
Leave Out All The Rest - Linkin Park,2U - Justin Bieber,We Are Never Ever Getting Back Together - Taylor Swift
Talking To Myself - Linkin Park,She Will Be Loved - Maroon 5,The Kill - 30 Seconds To Mars
Numb - Linkin Park,Congratulations - Post Malone,Killing In The Name - Rise Against The Machine
Waiting For The End - Linkin Park,Lullaby - R3HAB,Basket Case - Green Day
Crawling - Linkin Park,Arms - Christina Perri,Worst Behavior - Drake
Nobody Can Save Me - Linkin Park,Happy - Pharell Williams,Last Resort - Papa Roach
Deathbed - Relient K,Don’t Worry Be Happy - Bobby McFerrin,Complicated - Avril Lavigne
Missing Persons 1 & 2 - OneRepublic,Best Day Of My Life - American Authors,No More Sorrow - Linkin Park
No Man Alive - Tall Heights,Wonderwall - Oasis,Angry Song - Beabadobee
Learning How To Love - Colony House,Closer - The Chainsmokers,On My Own - Miley Cyrus
The Cure For Pain - Jon Foreman,Call Me Maybe - Carly Rae Jepson,Cough Syrup - Young The Giant
It Is What It Is - Lifehouse,Geronimo - Sheppard,GFY - Shaggy
