Genre,Lyrics
Happy,Evening shadows make me blue When each weary day is through How I long to be with you my happiness  Every day I reminisce Dreaming of your tender kiss Always thinking how I miss my happiness  A million years it seems Have gone by since we shared our dreams But Ill hold you again Therell be no blue memories then  Whether skies are gray or blue Any place on earth will do Just as long as Im with you my happiness  Whether skies are gray or blue Any place on earth will do Just as long as Im with you my happiness
Happy,Ohhhhh ohhhhhh ohhhhhh ohhhhhhh  Oh her eyes her eyes Make the stars look like theyre not shinin Her hair her hair Falls perfectly without her trying Shes so beautiful And I tell her everyday Yeah  I know I know When I compliment her she wont believe me And its so its so Sad to think that she dont see what I see But every time she asks me Do I look okay? I say  When I see your face (face face...) Theres not a thing that I would change Cause youre amazing (amazing) Just the way you are (are) And when you smile (smile smile...) The whole world stops and stares for a while Cause girl youre amazing (amazing) Just the way you are (are). Yeah  Her lips her lips I could kiss them all day if shed let me Her laugh her laugh She hates but I think its so sexy Shes so beautiful And I tell her everyday  Oh you know you know you know Id never ask you to change If perfects what youre searching for Then just stay the same So dont even bother asking if you look okay You know Ill say  When I see your face (face face...) Theres not a thing that I would change Cause youre amazing (amazing) Just the way you are (are) And when you smile (smile smile...) The whole world stops and stares for a while Cause girl youre amazing (amazing) Just the way you are (are)  The way you are The way you are Girl youre amazing (amazing) Just the way you are (are)  When I see your face Theres not a thing that I would change Cause youre amazing (amazing) Just the way you are (are) And when you smile The whole world stops and stares for a while Cause girl youre amazing Just the way you are  Yeah
Happy,[Ja Rule]  Woo ha ha right back at ya..  its the worlds most talented record label  Murder Inc.  And that angelic voice you hear in the backround  oh thats our new princess of Hip Hop in R&ampB yo  Miss Ashanti.   [Verse 1]  Boy you fill me with so much joy  you give whatever it is I need  my love here to stay wont ever leave  so glad that you fell in love with me.     My love is so good that I wouldnt be without you  babe  couldnt see me without you babe.  My love is so good that I wouldnt be without you  babe couldnt see me without you baby.     all my life Ive been searching for you  everyday. So glad that I found you boy  all my life Ive been feeling for you everyday.  Im so happy baby.   [Verse 2]  Boy you got me feeling so good  you take all my pain away from me..  without you around I couldnt be  and I  know you fell in love with me.         [Verse 3]  Im so happy that I fell in love  I thank God he sent you from up above.  Im so happy that I found someone  and I thank God he sent you from above.   [Chorus ]   [Ending]  Hmmm that I wouldnt be without you babe  couldnt see me without you babe and I wouldnt be  without you babe couldnt see me without you baby.
Happy,Good times These are the good times Leave your cares behind These are the good times  Good times These are the good times Our new state of mind These are the good times  Happy days are here again The time is right for making friends Lets get together how bout a quarter to ten? Come tomorrow lets all do it again  Boys will be boys better let them have their toys Girls will be girls cute ponytails and curls Must put an end to this stress and strife I think I want to live the sporty life  Good times These are the good times Leave your cares behind These are the good times  Good times These are the good times Our new state of mind These are the good times  A rumor has it that its getting late Time marches on just cant wait The clock keeps turning why hesitate? You silly fool you cant change your fate  Lets cut the rug a little jive and jitterbug We want the best we wont settle for less Dont be a drag participate Clams on the half shell and roller-skates roller-skates  Good times These are the good times Leave your cares behind These are the good times  Good times These are the good times Our new state of mind These are the good times  Good times  Good times These are the good times Our new state of mind These are the good times
Happy,You were a child Crawling on your knees toward it Making momma so proud But your voice is too loud We like to watch you laughing You pick the insects off plants No time to think of consequences  Control yourself Take only what you need from it A family of trees wanting to be haunted Control yourself Take only what you need from it A family of trees wanting to be haunted  The water is warm But its sending me shivers A baby is born Crying out for attention The memories fade Like looking through a fogged mirror Decisions to decisions are made and not bought But I thought this wouldnt hurt a lot I guess not  [6x] Control yourself Take only what you need from it A family of trees wanting to be haunted Control yourself Take only what you need from it A family of trees wanting to be haunted  Control yourself Take only what you need from it A family of trees wanting To be haunted Control yourself Take only what you need from it A family of trees wanting To be haunted Control yourself Take only what you need from it A family of trees wanting To be haunted Control yourself Take only what you need from it A family of trees
Happy,I never thought that you would be the one to hold my heart But you came around and you knocked me off the ground from the start  You put your arms around me And I believe that its easier for you to let me go You put your arms around me and Im home  How many times will you let me change my mind and turn around? I cant decide if Ill let you save my life or if Ill drown  I hope that you see right through my walls I hope that you catch me cause Im already falling Ill never let our love get so close You put your arms around me and Im home  The world is coming down on me and I cant find a reason to be loved I never wanna leave you but I cant make you bleed if Im alone  You put your arms around me And I believe that its easier for you to let me go...  I hope that you see right through my walls I hope that you catch me cause Im already falling Ill never let our love get so close You put your arms around me and Im home  I try my best to never let you in to see the truth And Ive never opened up Ive never truly loved till you put your arms around me And I believe that its easier for you to let me go  I hope that you see right through my walls I hope that you catch me cause Im already falling Ill never let our love get so close You put your arms around me and Im home  You put your arms around me and Im home
Happy,Beauty queen of only eighteen She had some trouble with herself He was always there to help her She always belonged to someone else  I drove for miles and miles and wound up at your door Ive had you so many times but somehow I want more  I dont mind spending every day Out on your corner in the pouring rain Look for the girl with the broken smile Ask her if she wants to stay awhile And she will be loved And she will be loved  Tap on my window knock on my door I want to make you feel beautiful I know I tend to get so insecure Doesnt matter anymore  Its not always rainbows and butterflies Its compromise that moves us along yeah My heart is full and my doors always open You come anytime you want yeah.  I dont mind spending every day Out on your corner in the pouring rain Look for the girl with the broken smile Ask her if she wants to stay awhile And she will be loved And she will be loved And she will be loved And she will be loved  I know where you hide alone in your car Know all of the things that make you who you are I know that goodbye means nothing at all Comes back and begs me to catch her every time she falls  Tap on my window knock on my door I want to make you feel beautiful  I dont mind spending every day Out on your corner in the pouring rain. Look for the girl with the broken smile Ask her if she wants to stay awhile And she will be loved And she will be loved And she will be loved And she will be loved  [In the background:] Please dont try so hard to say goodbye Please dont try so hard to say goodbye  I dont mind spending every day Out on your corner in the pouring rain  Please dont try so hard to say goodbye
Happy,Tell me we dont have to leave Say we can stay forever That we can always be Just me and you together Cause this moment is all that I want Woah  Tell me how it used to be And let me make it better Cause baby you and me Well fly above the weather Where were going theres no holding on No  Let my eyes be your sunrise here  Standing on top of the world Hands up in the air feeling so alive Oh Screaming at the top of our lungs To the rhythm of our heartbeat beating tonight We go Oooh standing on top of the world []  So this is what it feels like Living this life in color Say bye to black and white You let me change it over Now I see theres no going back No  Finally I understand What feelings supposed to feel like And when I got your hand Ive never been so high All I need is all that you have Oh  Your eyes are my sunrise here  Standing on top of the world Hands up in the air feeling so alive Oh Screaming at the top of our lungs To the rhythm of our heartbeat beating tonight We go Oooh standing on top of the world []  And from way up here our problem seems so small So baby have no fear well fly above it all  Standing on top of the world Hands up in the air feeling so alive Oh Screaming at the top of our lungs To the rhythm of our heartbeat beating tonight We go Oooh standing on top of the world []
Happy,Sunday morning rain is falling Steal some covers share some skin Clouds are shrouding us in moments unforgettable You twist to fit the mold that I am in But things just get so crazy living life gets hard to do And I would gladly hit the road get up and go if I knew That someday it would lead me back to you That someday it would lead me back to you  That may be all I need In darkness she is all I see Come and rest your bones with me Driving slow on Sunday morning And I never want to leave  Fingers trace your every outline Paint a picture with my hands Back and forth we sway like branches in a storm Change the weather still together when it ends  That may be all I need In darkness she is all I see Come and rest your bones with me Driving slow on Sunday morning And I never want to leave  But things just get so crazy living life gets hard to do Sunday morning rain is falling and Im calling out to you Singing someday itll bring me back to you Find a way to bring myself back home to you  May not know  That may be all I need In darkness she is all I see Come and rest your bones with me Driving slow on Sunday morning Driving slow  Oh yeah yeah...  There is a flower in your hair. Im a flower in your hair.  Oh yeah yeah oh
Happy,Isnt it a little late Shouldnt you fly away Little dove with cigarettes Show em that you can hold your breath  I heard about a girl Buried her dolls and lost her curls Painted on lipstick red Grew herself up and then shed  Walk into a smoke filled room Oh no one could keep their eyes off you Have a little drink or two Oh how could you be that girl I knew  Walk into a smoke filled room Little black dress and mamas shoes Isnt it a bit too soon Oh how could you be that girl I knew  Walk into a smoke filled room Oh I believe love will follow you Isnt it a bit too soon Oh how could you be that girl I knew  Take a step around the room And every head keeps turning too Little dove you fight em back Show em youre so much more than that  I heard about a girl Buried her dolls and lost her curls Painted on lipstick red Grew herself up and then shed  Walk into a smoke filled room Oh no one could keep their eyes off you Have a little drink or two Oh how could you be that girl I knew  Walk into a smoke filled room Little black dress and mamas shoes Isnt it a bit too soon Oh how could you be that girl I knew
